population,cycle,hamming_weight,a_sh0_r,a_sh1_r,b_sh0_r,b_sh1_r,term_sh0,term_cross01,term_cross10,term_sh1,t0_sh0,t0_sh1
0,415,12,1,1,1,1,1,1,1,1,1,1
0,416,6,1,1,0,0,0,0,0,0,1,1
0,417,6,1,1,0,0,0,0,0,0,1,1
0,418,12,1,1,1,1,1,1,1,1,1,1
0,419,4,0,0,0,0,0,0,0,0,1,1
0,420,12,1,1,1,1,1,1,1,1,1,1
0,421,12,1,1,1,1,1,1,1,1,1,1
0,422,6,1,1,0,0,0,0,0,0,1,1
0,423,4,0,0,1,1,0,0,0,0,0,0
0,424,2,1,1,0,0,0,0,0,0,0,0
0,425,4,1,1,0,0,0,0,0,0,1,1
0,426,4,0,0,1,1,0,0,0,0,0,0
0,427,10,1,1,1,1,1,1,1,1,1,1
0,428,12,1,1,1,1,1,1,1,1,1,1
0,429,4,1,1,0,0,0,0,0,0,0,0
0,430,2,0,0,0,0,0,0,0,0,1,1
0,431,2,0,0,0,0,0,0,0,0,0,0
0,432,4,1,1,0,0,0,0,0,0,1,1
0,433,4,0,0,1,1,0,0,0,0,0,0
0,434,0,0,0,0,0,0,0,0,0,0,0
0,435,0,0,0,0,0,0,0,0,0,0,0
0,436,0,0,0,0,0,0,0,0,0,0,0
0,437,0,0,0,0,0,0,0,0,0,0,0
0,438,0,0,0,0,0,0,0,0,0,0,0
0,439,2,1,1,0,0,0,0,0,0,0,0
0,440,4,1,1,0,0,0,0,0,0,1,1
0,441,6,1,1,0,0,0,0,0,0,1,1
0,442,4,0,0,0,0,0,0,0,0,1,1
0,443,4,1,1,0,0,0,0,0,0,0,0
0,444,8,1,1,1,1,1,1,1,1,0,0
0,445,4,0,0,1,1,0,0,0,0,1,1
0,446,12,1,1,1,1,1,1,1,1,1,1
0,447,6,1,1,0,0,0,0,0,0,1,1
0,448,4,0,0,0,0,0,0,0,0,1,1
0,449,6,0,0,1,1,0,0,0,0,1,1
0,450,4,0,0,1,1,0,0,0,0,0,0
0,451,2,0,0,0,0,0,0,0,0,1,1
0,452,10,1,1,1,1,1,1,1,1,0,0
0,453,4,0,0,1,1,0,0,0,0,1,1
0,454,2,0,0,0,0,0,0,0,0,0,0
0,455,0,0,0,0,0,0,0,0,0,0,0
0,456,10,1,1,1,1,1,1,1,1,1,1
0,457,6,1,1,0,0,0,0,0,0,1,1
0,458,4,0,0,0,0,0,0,0,0,1,1
0,459,6,1,1,0,0,0,0,0,0,1,1
0,460,4,0,0,0,0,0,0,0,0,1,1
0,461,2,0,0,0,0,0,0,0,0,0,0
0,462,2,1,1,0,0,0,0,0,0,0,0
0,463,8,1,1,1,1,1,1,1,1,0,0
0,464,0,0,0,0,0,0,0,0,0,0,0
0,465,2,0,0,0,0,0,0,0,0,1,1
0,466,12,1,1,1,1,1,1,1,1,1,1
0,467,10,1,1,1,1,1,1,1,1,0,0
0,468,8,1,1,1,1,1,1,1,1,0,0
0,469,2,0,0,1,1,0,0,0,0,0,0
0,470,0,0,0,0,0,0,0,0,0,0,0
0,471,4,0,0,1,1,0,0,0,0,1,1
0,472,6,1,1,0,0,0,0,0,0,1,1
0,473,4,0,0,0,0,0,0,0,0,1,1
0,474,2,0,0,0,0,0,0,0,0,0,0
0,475,4,0,0,1,1,0,0,0,0,1,1
0,476,6,0,0,1,1,0,0,0,0,1,1
0,477,4,1,1,0,0,0,0,0,0,0,0
0,478,2,0,0,0,0,0,0,0,0,1,1
0,479,6,1,1,0,0,0,0,0,0,1,1
0,480,4,0,0,0,0,0,0,0,0,1,1
0,481,4,1,1,0,0,0,0,0,0,0,0
0,482,2,1,1,0,0,0,0,0,0,0,0
0,483,2,0,0,0,0,0,0,0,0,1,1
0,484,2,0,0,0,0,0,0,0,0,0,0
0,485,0,0,0,0,0,0,0,0,0,0,0
0,486,0,0,0,0,0,0,0,0,0,0,0
0,487,0,0,0,0,0,0,0,0,0,0,0
0,488,2,0,0,1,1,0,0,0,0,0,0
0,489,2,1,1,0,0,0,0,0,0,0,0
0,490,4,0,0,1,1,0,0,0,0,1,1
0,491,12,1,1,1,1,1,1,1,1,1,1
0,492,2,0,0,0,0,0,0,0,0,0,0
0,493,0,0,0,0,0,0,0,0,0,0,0
0,494,10,1,1,1,1,1,1,1,1,1,1
0,495,4,1,1,0,0,0,0,0,0,0,0
0,496,2,0,0,1,1,0,0,0,0,0,0
0,497,4,1,1,0,0,0,0,0,0,1,1
0,498,6,1,1,0,0,0,0,0,0,1,1
0,499,10,1,1,1,1,1,1,1,1,0,0
0,500,4,0,0,1,1,0,0,0,0,1,1
0,501,4,0,0,1,1,0,0,0,0,0,0
0,502,8,1,1,1,1,1,1,1,1,0,0
0,503,0,0,0,0,0,0,0,0,0,0,0
0,504,2,1,1,0,0,0,0,0,0,0,0
0,505,8,1,1,1,1,1,1,1,1,0,0
0,506,10,1,1,1,1,1,1,1,1,1,1
0,507,2,0,0,0,0,0,0,0,0,0,0
0,508,10,1,1,1,1,1,1,1,1,1,1
0,509,6,1,1,0,0,0,0,0,0,1,1
0,510,6,1,1,0,0,0,0,0,0,1,1
0,511,4,0,0,1,1,0,0,0,0,0,0
0,512,0,0,0,0,0,0,0,0,0,0,0
0,513,4,0,0,1,1,0,0,0,0,1,1
0,514,12,1,1,1,1,1,1,1,1,1,1
0,515,6,0,0,1,1,0,0,0,0,1,1
0,516,4,1,1,0,0,0,0,0,0,0,0
0,517,4,1,1,0,0,0,0,0,0,1,1
0,518,6,0,0,1,1,0,0,0,0,1,1
0,519,6,0,0,1,1,0,0,0,0,1,1
0,520,4,1,1,0,0,0,0,0,0,0,0
0,521,2,0,0,1,1,0,0,0,0,0,0
0,522,2,1,1,0,0,0,0,0,0,0,0
0,523,4,1,1,0,0,0,0,0,0,1,1
0,524,2,0,0,0,0,0,0,0,0,0,0
